OE-00001	frontmatter	1	2026-07-13T23:09:36
OE-00002	whitespace	2	2026-07-13T23:10:12
OE-00003	frontmatter	3	2026-07-13T23:11:51
OE-00004	prose	4	2026-07-13T23:12:24
OE-00005	comment	5	2026-07-13T23:12:24
OE-00006	comment	6	2026-07-13T23:12:25
OE-00007	frontmatter	7	2026-07-13T23:12:25
OE-00008	prose	8	2026-07-13T23:12:25
OE-00009	frontmatter	9	2026-07-13T23:12:26
OE-00010	whitespace	10	2026-07-13T23:12:26
OE-00011	frontmatter	11	2026-07-13T23:12:27
OE-00012	frontmatter	12	2026-07-13T23:12:27
OE-00013	frontmatter	13	2026-07-13T23:12:28
OE-00014	prose	14	2026-07-13T23:12:28
OE-00015	whitespace	15	2026-07-13T23:12:28
OE-00016	prose	16	2026-07-13T23:12:29
OE-00017	prose	17	2026-07-13T23:12:29
OE-00018	whitespace	18	2026-07-13T23:12:30
OE-00019	prose	19	2026-07-13T23:12:30
OE-00020	prose	20	2026-07-13T23:12:31
OE-00021	prose	21	2026-07-13T23:12:31
OE-00022	prose	22	2026-07-13T23:12:31
OE-00023	prose	23	2026-07-13T23:12:32
OE-00024	prose	24	2026-07-13T23:12:32
OE-00025	prose	25	2026-07-13T23:12:33
OE-00026	prose	26	2026-07-13T23:12:33
OE-00027	whitespace	27	2026-07-13T23:12:34
OE-00028	frontmatter	28	2026-07-13T23:12:34
OE-00029	frontmatter	29	2026-07-13T23:12:34
OE-00030	frontmatter	30	2026-07-13T23:12:35
OE-00031	whitespace	31	2026-07-13T23:12:35
OE-00032	frontmatter	32	2026-07-13T23:12:36
OE-00033	frontmatter	33	2026-07-13T23:12:36
OE-00034	whitespace	34	2026-07-13T23:12:36
OE-00035	prose	35	2026-07-13T23:12:37
OE-00036	prose	36	2026-07-13T23:12:37
OE-00037	prose	37	2026-07-13T23:12:38
OE-00038	prose	38	2026-07-13T23:12:38
OE-00039	prose	39	2026-07-13T23:12:39
OE-00040	prose	40	2026-07-13T23:12:39
OE-00041	prose	41	2026-07-13T23:12:39
OE-00042	prose	42	2026-07-13T23:12:40
OE-00043	prose	43	2026-07-13T23:12:40
OE-00044	prose	44	2026-07-13T23:12:41
OE-00045	prose	45	2026-07-13T23:12:41
OE-00046	prose	46	2026-07-13T23:12:42
OE-00047	prose	47	2026-07-13T23:12:42
OE-00048	prose	48	2026-07-13T23:12:42
OE-00049	prose	49	2026-07-13T23:12:43
OE-00050	prose	50	2026-07-13T23:12:43
OE-00051	prose	51	2026-07-13T23:12:44
OE-00052	prose	52	2026-07-13T23:12:44
OE-00053	prose	53	2026-07-13T23:12:45
OE-00054	prose	54	2026-07-13T23:12:45
OE-00055	prose	55	2026-07-13T23:12:45
OE-00056	prose	56	2026-07-13T23:12:46
OE-00057	prose	57	2026-07-13T23:12:46
OE-00058	prose	58	2026-07-13T23:12:47
OE-00059	prose	59	2026-07-13T23:12:47
OE-00060	whitespace	60	2026-07-13T23:12:48
OE-00061	whitespace	61	2026-07-13T23:12:48
OE-00062	comment	62	2026-07-13T23:12:48
OE-00063	add-section	63	2026-07-13T23:12:49
OE-00064	whitespace	64	2026-07-13T23:12:49
OE-00065	prose	65	2026-07-13T23:12:50
OE-00066	prose	66	2026-07-13T23:12:50
